,회사명,거래소코드,회계년도
440,(주)엘지에너지솔루션,373220,2022/12
441,(주)엘지에너지솔루션,373220,2023/12
442,(주)엘지유플러스,32640,2020/12
443,(주)엘지유플러스,32640,2021/12
444,(주)엘지유플러스,32640,2022/12
445,(주)엘지유플러스,32640,2023/12
446,(주)엘지헬로비전,37560,2020/12
447,(주)엘지헬로비전,37560,2021/12
448,(주)엘지헬로비전,37560,2022/12
449,(주)엘지헬로비전,37560,2023/12
450,(주)엘지화학,51910,2020/12
451,(주)엘지화학,51910,2021/12
452,(주)엘지화학,51910,2022/12
453,(주)엘지화학,51910,2023/12
454,(주)엠씨넥스,97520,2020/12
455,(주)엠씨넥스,97520,2021/12
456,(주)엠씨넥스,97520,2022/12
457,(주)엠씨넥스,97520,2023/12
458,(주)영풍,670,2020/12
459,(주)영풍,670,2021/12
460,(주)영풍,670,2022/12
461,(주)영풍,670,2023/12
462,(주)예스코홀딩스,15360,2020/12
463,(주)예스코홀딩스,15360,2021/12
464,(주)예스코홀딩스,15360,2022/12
465,(주)예스코홀딩스,15360,2023/12
466,(주)오뚜기,7310,2020/12
467,(주)오뚜기,7310,2021/12
468,(주)오뚜기,7310,2022/12
469,(주)오뚜기,7310,2023/12
470,(주)오리온,271560,2020/12
471,(주)오리온,271560,2021/12
472,(주)오리온,271560,2022/12
473,(주)오리온,271560,2023/12
474,(주)오리온홀딩스,1800,2020/12
475,(주)오리온홀딩스,1800,2021/12
476,(주)오리온홀딩스,1800,2022/12
477,(주)오리온홀딩스,1800,2023/12
478,(주)와이투솔루션,11690,2020/12
479,(주)와이투솔루션,11690,2021/12
480,(주)와이투솔루션,11690,2022/12
481,(주)와이투솔루션,11690,2023/12
482,(주)우성,6980,2020/12
483,(주)우성,6980,2021/12
484,(주)우성,6980,2022/12
485,(주)우성,6980,2023/12
486,(주)우신시스템,17370,2020/12
487,(주)우신시스템,17370,2021/12
488,(주)우신시스템,17370,2022/12
489,(주)우신시스템,17370,2023/12
490,(주)우진,105840,2020/12
491,(주)우진,105840,2021/12
492,(주)우진,105840,2022/12
493,(주)우진,105840,2023/12
494,(주)웅진,16880,2020/12
495,(주)웅진,16880,2021/12
496,(주)웅진,16880,2022/12
497,(주)웅진,16880,2023/12
498,(주)웅진씽크빅,95720,2020/12
499,(주)웅진씽크빅,95720,2021/12
500,(주)웅진씽크빅,95720,2022/12
501,(주)웅진씽크빅,95720,2023/12
502,(주)원림,5820,2020/12
503,(주)원림,5820,2021/12
504,(주)원림,5820,2022/12
505,(주)원림,5820,2023/12
506,(주)위스컴,24070,2020/12
507,(주)위스컴,24070,2021/12
508,(주)위스컴,24070,2022/12
509,(주)위스컴,24070,2023/12
