,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20231231,20221231,20211231,20201231,20191231,20181231,20171231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
37,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,Net defined benefit liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,순확정급여부채,,456557000000.0,268370000000.0,465884000000.0,464458000000.0,470780000000.0,504064000000.0,389922000000.0
38,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred income tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,이연법인세부채,,620549000000.0,5111332000000.0,23198205000000.0,18810845000000.0,17053808000000.0,15162523000000.0,11710781000000.0
39,ifrs-full_NoncurrentProvisions,장기충당부채,Long-term provisions,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기충당부채,,2878450000000.0,1928518000000.0,2306994000000.0,1051428000000.0,611100000000.0,663619000000.0,464324000000.0
40,ifrs-full_OtherNoncurrentLiabilities,기타 비유동 부채,Other non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,기타 비유동 부채,,2802356000000.0,1171761000000.0,1267183000000.0,1725857000000.0,2408896000000.0,1951251000000.0,2708985000000.0
41,ifrs-full_Liabilities,부채총계,Total liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],부채총계,,,92228115000000.0,93674903000000.0,121721227000000.0,102287702000000.0,89684076000000.0,91604067000000.0,87260662000000.0
42,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of parent company,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,,,353233775000000.0,345186142000000.0,296237697000000.0,267670331000000.0,254915472000000.0,240068993000000.0,207213416000000.0
43,ifrs-full_IssuedCapital,자본금,Issued capital,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본금,,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0,897514000000.0
44,dart_IssuedCapitalOfPreferredStock,우선주자본금,Preference shares,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본금,우선주자본금,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0,119467000000.0
45,dart_IssuedCapitalOfCommonStock,보통주자본금,Ordinary shares,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본금,보통주자본금,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0,778047000000.0
46,ifrs-full_SharePremium,주식발행초과금,Share premium,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,주식발행초과금,,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0
47,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,이익잉여금,,346652238000000.0,337946407000000.0,293064763000000.0,271068211000000.0,254582894000000.0,242698956000000.0,215811200000000.0
48,dart_ElementsOfOtherStockholdersEquity,기타자본항목,Other components of equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,기타자본항목,,1280130000000.0,1938328000000.0,-2128473000000.0,-8687155000000.0,-4968829000000.0,-7931370000000.0,-13899191000000.0
49,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],비지배지분,,,10444090000000.0,9563462000000.0,8662234000000.0,8277685000000.0,7964949000000.0,7684184000000.0,7278012000000.0
50,ifrs-full_Equity,자본총계,Total equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],자본총계,,,363677865000000.0,354749604000000.0,304899931000000.0,275948016000000.0,262880421000000.0,247753177000000.0,214491428000000.0
51,ifrs-full_EquityAndLiabilities,자본과부채총계,Total liabilities and equity,ifrs-full:StatementOfFinancialPositionAbstract,자본과부채총계,,,,455905980000000.0,448424507000000.0,426621158000000.0,378235718000000.0,352564497000000.0,339357244000000.0,301752090000000.0
