,회사명,거래소코드,회계년도,단기차입금,유동성장기부채,사채,장기차입금,법인세비용,자본,부채,이자비용,세후타인자본비용
119,(주)더존비즈온,12510,2023/12,18000000.0,253868072.0,0.0,0.0,11084475.0,445338536.0,437989023.0,14478100.0,0.05325413864707144
120,(주)덕성,4830,2020/12,22822828.0,1896729.0,0.0,0.0,520650.0,66236223.0,38803664.0,745768.0,0.030169149066870415
121,(주)덕성,4830,2021/12,19781597.0,999920.0,0.0,0.0,1794886.0,84991966.0,40299826.0,573247.0,0.027584463636605546
122,(주)덕성,4830,2022/12,13546373.0,1025630.0,0.0,0.0,1285270.0,83409592.0,41762767.0,742335.0,0.05094255058827534
123,(주)덕성,4830,2023/12,7822002.0,965380.0,0.0,0.0,1220069.0,85768161.0,41050936.0,1473949.0,0.16773471325134154
124,(주)덴티움,145720,2020/12,51422677.0,81275000.0,0.0,0.0,3834902.0,228600894.0,281634964.0,8030783.0,0.060519394020740844
125,(주)덴티움,145720,2021/12,65584869.0,30200000.0,0.0,0.0,19218303.0,291098416.0,279104017.0,6077153.0,0.06344585594202776
126,(주)덴티움,145720,2022/12,77672000.0,57400000.0,0.0,0.0,32250961.0,373163728.0,301420236.0,6792914.0,0.050291059583037194
127,(주)덴티움,145720,2023/12,87772427.0,72999999.0,0.0,0.0,37954241.0,463873382.0,309896958.0,7433383.0,0.04623543467584423
128,(주)도화엔지니어링,2150,2020/12,195840.0,0.0,0.0,0.0,5874764.0,256835712.0,194845013.0,240820.0,1.2296772875816993
129,(주)도화엔지니어링,2150,2021/12,54827.0,1795756.0,0.0,0.0,6955232.0,266928762.0,233288041.0,1269945.0,0.686240498264601
130,(주)도화엔지니어링,2150,2022/12,527527.0,2302786.0,0.0,0.0,1336405.0,267316819.0,255273457.0,1644931.0,0.5811834238828002
131,(주)도화엔지니어링,2150,2023/12,490353.0,12427273.0,0.0,0.0,5294841.0,274364101.0,330735949.0,2952396.0,0.22855561850141815
132,(주)동방,4140,2020/12,78909106.0,65061264.0,0.0,0.0,1603743.0,116770066.0,410051935.0,15835477.0,0.10999122249946292
133,(주)동방,4140,2021/12,32013554.0,34516773.0,0.0,0.0,2113050.0,131456558.0,399799100.0,14567817.0,0.2189650593480474
134,(주)동방,4140,2022/12,51034842.0,109982829.0,0.0,0.0,687109.0,130280219.0,437684707.0,14344747.0,0.08908802935051768
135,(주)동방,4140,2023/12,46142910.0,71500602.0,0.0,0.0,513742.0,144098261.0,455221060.0,16167374.0,0.137426822143834
136,(주)동방아그로,7590,2020/12,0.0,2761919.0,0.0,0.0,2019685.0,141791300.0,54235750.0,381960.0,0.13829514913362775
137,(주)동방아그로,7590,2021/12,0.0,498897.0,0.0,0.0,2015998.0,147114820.0,57352106.0,77889.0,0.15612240602769709
138,(주)동방아그로,7590,2022/12,0.0,521228.0,0.0,0.0,1995902.0,150823209.0,65704821.0,583394.0,1.1192683432202415
139,(주)동방아그로,7590,2023/12,0.0,549468.0,0.0,0.0,2837173.0,159950147.0,64434056.0,607648.0,1.105884237116629
140,(주)동서,26960,2020/12,320078.0,0.0,0.0,0.0,27743643.0,1397256602.0,128513682.0,39977.0,0.12489768119020989
141,(주)동서,26960,2021/12,831593.0,0.0,0.0,0.0,26151061.0,1448607177.0,133970703.0,48244.0,0.058013956346433894
142,(주)동서,26960,2022/12,1440087.0,0.0,0.0,0.0,-40274628.0,1545550259.0,82302460.0,96833.0,0.06724107640718929
143,(주)동서,26960,2023/12,806730.0,0.0,0.0,0.0,17027762.0,1622874728.0,71145080.0,132435.0,0.16416273102525009
144,(주)동양,1520,2020/12,32091728.0,4612811.0,0.0,0.0,3364199.0,779586271.0,217173926.0,1288000.0,0.03509102784263276
145,(주)동양,1520,2021/12,29000000.0,5199403.0,0.0,0.0,12950323.0,783993332.0,223240278.0,1582000.0,0.046258117429710685
146,(주)동양,1520,2022/12,44675170.0,4662857.0,0.0,0.0,5433587.0,783531995.0,200018245.0,1545000.0,0.03131458823839875
147,(주)동양,1520,2023/12,88139260.0,5507825.0,0.0,0.0,12836298.0,788242192.0,311407795.0,4225000.0,0.04511619341915448
