,회사명,거래소코드,회계년도,유형자산,무형자산,비유동생물자산,기타비유동자산,재고자산,투하자산
191,(주)모토닉,9680,2023/12,61296644.0,222260.0,0.0,4564037.0,14711511.0,80794452.0
192,(주)무학,33920,2020/12,208438795.0,311223.0,0.0,3780632.0,11508808.0,224039458.0
193,(주)무학,33920,2021/12,194323265.0,311000.0,0.0,3857814.0,9939891.0,208431970.0
194,(주)무학,33920,2022/12,180916118.0,504347.0,0.0,3787719.0,8949603.0,194157787.0
195,(주)무학,33920,2023/12,176687128.0,417937.0,0.0,3562225.0,10108577.0,190775867.0
196,(주)백산,35150,2020/12,87554660.0,1409503.0,0.0,10748037.0,45987224.0,145699424.0
197,(주)백산,35150,2021/12,68502330.0,1053741.0,0.0,11986031.0,62529782.0,144071884.0
198,(주)백산,35150,2022/12,79327753.0,990190.0,0.0,10588853.0,52209324.0,143116120.0
199,(주)백산,35150,2023/12,85820959.0,1414844.0,0.0,9505852.0,52889295.0,149630950.0
200,(주)보령,3850,2020/12,242224595.0,51998715.0,0.0,1970000.0,95492292.0,391685602.0
201,(주)보령,3850,2021/12,232197112.0,89123225.0,0.0,1397594.0,110994217.0,433712148.0
202,(주)보령,3850,2022/12,216406501.0,179946306.0,0.0,19239213.0,164621337.0,580213357.0
203,(주)보령,3850,2023/12,209108598.0,169172907.0,0.0,9842599.0,189805874.0,577929978.0
204,(주)비와이씨,1460,2020/12,61432622.0,517444.0,0.0,0.0,34704886.0,96654952.0
205,(주)비와이씨,1460,2021/12,69036987.0,430263.0,0.0,0.0,30955006.0,100422256.0
206,(주)비와이씨,1460,2022/12,77727018.0,649546.0,0.0,1201008.0,38420150.0,117997722.0
207,(주)비와이씨,1460,2023/12,105219092.0,669137.0,0.0,0.0,39594952.0,145483181.0
208,(주)비지에프,27410,2020/12,54835792.0,8883210.0,0.0,6765473.0,2325416.0,72809891.0
209,(주)비지에프,27410,2021/12,117609920.0,165106927.0,0.0,28468432.0,50263041.0,361448320.0
210,(주)비지에프,27410,2022/12,131437458.0,150492416.0,0.0,21489121.0,59748646.0,363167641.0
211,(주)비지에프,27410,2023/12,274777843.0,161085177.0,0.0,21273202.0,60113049.0,517249271.0
212,(주)비지에프리테일,282330,2020/12,591452945.0,36532281.0,0.0,660105471.0,121544700.0,1409635397.0
213,(주)비지에프리테일,282330,2021/12,614077693.0,32603641.0,0.0,797719472.0,108457563.0,1552858369.0
214,(주)비지에프리테일,282330,2022/12,690462607.0,36317600.0,0.0,968876087.0,124841356.0,1820497650.0
215,(주)비지에프리테일,282330,2023/12,776433425.0,36074059.0,0.0,1073323015.0,176968203.0,2062798702.0
216,(주)빙그레,5180,2020/12,280232025.0,46634721.0,0.0,35235289.0,55305923.0,417407958.0
217,(주)빙그레,5180,2021/12,295488505.0,37944438.0,0.0,33693729.0,74374615.0,441501287.0
218,(주)빙그레,5180,2022/12,298725572.0,30501486.0,0.0,56918165.0,127474597.0,513619820.0
219,(주)빙그레,5180,2023/12,353041852.0,21231692.0,0.0,56959756.0,126482686.0,557715986.0
220,(주)사조대림,3960,2020/12,462940300.0,13997280.0,0.0,0.0,238714467.0,715652047.0
221,(주)사조대림,3960,2021/12,442196054.0,11126002.0,0.0,0.0,262869262.0,716191318.0
