회사명,거래소코드,회계년도,[제조]      단기차입금(*)(IFRS연결),[제조]      유동성장기부채(*)(IFRS연결),[제조]            사채(IFRS연결),[제조]            장기차입금(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]법인세비용(IFRS연결),[제조]자본(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)대덕,008060,2022/12,10668360,6836886,0,0,0,0,0,958512,54403990,1484267680,419083389
(주)대동,000490,2020/12,239096650,43462165,0,0,0,0,0,10920382,6268863,328298574,610427548
(주)대동,000490,2021/12,332519088,22673320,0,0,0,0,0,8355084,6880817,385904527,874734549
(주)대동,000490,2022/12,450542368,11714176,0,0,0,0,0,23744311,19084965,471990756,1241782449
(주)대동,000490,2023/12,610164779,142059956,0,0,0,0,0,58695651,11969425,577059699,1379316412
(주)대양금속,009190,2020/12,,,,,,,,,,,
(주)대양금속,009190,2021/12,,,,,,,,,,,
(주)대양금속,009190,2022/12,16351493,7533200,0,0,0,0,0,4903727,971315,174499069,226378022
(주)대양금속,009190,2023/12,,,,,,,,,,,
(주)대우건설,047040,2020/12,399779000,892731000,0,0,0,0,0,104535510,94802011,2676996071,6628920364
(주)대우건설,047040,2021/12,360401920,237863000,0,0,0,0,0,61368289,113466579,3216377898,7241599093
(주)대우건설,047040,2022/12,573147000,509005000,0,0,0,0,0,80435372,205487350,3724617161,7415736591
(주)대우건설,047040,2023/12,602529395,763170068,0,0,0,0,0,150492711,223487475,4061915414,7181221069
(주)대웅,003090,2020/12,57052620,90775132,0,0,0,0,0,10505730,26237626,1116917930,720614938
(주)대웅,003090,2021/12,56109217,201027235,0,0,0,0,0,10292225,13427079,1157034616,776674439
(주)대웅,003090,2022/12,141741536,93077490,0,0,0,0,0,8351007,34664176,1279495802,879409306
(주)대웅,003090,2023/12,174985759,206777378,0,0,0,0,0,13993951,11083066,1436798777,922478397
(주)대웅제약,069620,2020/12,57052620,90910079,0,0,0,0,0,10609840,-10588733,695248617,671659305
(주)대웅제약,069620,2021/12,56109217,200865147,0,0,0,0,0,10248267,-10322780,702407439,712772242
(주)대웅제약,069620,2022/12,141741536,93114044,0,0,0,0,0,8405545,-833512,741222997,822117616
(주)대웅제약,069620,2023/12,167425759,206903167,0,0,0,0,0,13602904,1996359,912281029,858029764
(주)대유에이텍,002880,2020/12,165441780,61134774,0,0,0,0,0,16176594,8930192,239289133,927237547
(주)대유에이텍,002880,2021/12,217078925,135034728,0,0,0,0,0,17595897,10170511,189701011,1131295315
(주)대유에이텍,002880,2022/12,217371081,167836244,0,0,0,0,0,25882575,-14947406,238462812,1136743953
(주)대유에이텍,002880,2023/12,23708629,67160749,0,0,0,0,0,12562994,-14113691,36798140,299228350
(주)대유플러스,000300,2020/12,81992859,14168264,0,0,0,0,375644,6512533,1588090,120991765,352222462
(주)대유플러스,000300,2021/12,88682130,43677782,0,0,0,0,0,10525640,-1733508,138907088,455486600
(주)대유플러스,000300,2022/12,84583809,52512353,0,0,0,0,0,16482416,5914895,111252461,431957816
(주)대창,012800,2020/12,242078420,17175568,0,0,0,0,0,9479783,3587348,221349993,398932797
(주)대창,012800,2021/12,293143893,6081369,0,0,0,0,0,11013880,3059998,274114182,536623950
(주)대창,012800,2022/12,246387612,64292762,0,0,0,0,0,16862670,1421746,276716175,563437643
(주)대창,012800,2023/12,305156732,55518921,0,0,0,0,0,22001109,-4923555,250263992,509268660
(주)대한항공,003490,2020/12,1900886974,3947261094,0,47347950,0,0,0,513862527,-111424154,3311724114,21878336960
(주)대한항공,003490,2021/12,985568230,4371955138,0,41429590,0,0,0,390933686,264331989,6865689156,19806214029
(주)대한항공,003490,2022/12,906051100,2750228822,0,0,0,0,0,400949993,832632146,9292460207,19705240816
(주)대한항공,003490,2023/12,1021407680,2717963644,0,0,0,0,0,531415199,446584628,9815208242,20576567788
(주)대현,016090,2020/12,,,,,,,,,,,
(주)대현,016090,2021/12,,,,,,,,,,,
(주)대현,016090,2022/12,,,,,,,,,,,
(주)대호에이엘,069460,2020/12,,,,,,,,,,,
(주)대호에이엘,069460,2021/12,,,,,,,,,,,
(주)대호에이엘,069460,2022/12,,,,,,,,,,,
(주)대호에이엘,069460,2023/12,,,,,,,,,,,
(주)더블유게임즈,192080,2020/12,0,0,0,0,0,0,0,10421756,44274873,927887890,95278856
(주)더블유게임즈,192080,2021/12,48849315,0,0,0,0,0,0,1591758,41570846,1184826771,197077448
(주)더블유게임즈,192080,2022/12,0,29956448,0,0,0,0,0,3632814,-71298898,1006297224,229338874
(주)더블유게임즈,192080,2023/12,0,19976763,0,0,0,0,0,2297655,51444097,1196725259,91075430
(주)더존비즈온,012510,2020/12,18000000,2672232,0,0,0,0,0,7281227,15064938,397981025,400993980
(주)더존비즈온,012510,2021/12,18000000,252743256,0,0,0,0,0,7203653,17401181,501726227,398587976
(주)더존비즈온,012510,2022/12,18000000,2062081,0,0,0,0,0,9485389,8178964,438499757,394392969
(주)더존비즈온,012510,2023/12,18000000,253868072,0,0,0,0,0,14478100,11084475,445338536,437989023
(주)덕성,004830,2020/12,22822828,1896729,0,0,0,0,0,745768,520650,66236223,38803664
(주)덕성,004830,2021/12,19781597,999920,0,0,0,0,0,573247,1794886,84991966,40299826
(주)덕성,004830,2022/12,13546373,1025630,0,0,0,0,0,742335,1285270,83409592,41762767
(주)덕성,004830,2023/12,7822002,965380,0,0,0,0,0,1473949,1220069,85768161,41050936
(주)덴티움,145720,2020/12,51422677,81275000,0,0,0,0,0,8030783,3834902,228600894,281634964
(주)덴티움,145720,2021/12,65584869,30200000,0,0,0,0,0,6077153,19218303,291098416,279104017
(주)덴티움,145720,2022/12,77672000,57400000,0,0,0,0,0,6792914,32250961,373163728,301420236
(주)덴티움,145720,2023/12,87772427,72999999,0,0,0,0,0,7433383,37954241,463873382,309896958
(주)도화엔지니어링,002150,2020/12,195840,0,0,0,0,0,0,240820,5874764,256835712,194845013
(주)도화엔지니어링,002150,2021/12,54827,1795756,0,0,0,0,0,1269945,6955232,266928762,233288041
(주)도화엔지니어링,002150,2022/12,527527,2302786,0,0,0,0,0,1644931,1336405,267316819,255273457
(주)도화엔지니어링,002150,2023/12,490353,12427273,0,0,0,0,0,2952396,5294841,274364101,330735949
(주)동남합성,023450,2020/12,,,,,,,,,,,
(주)동남합성,023450,2021/12,,,,,,,,,,,
(주)동남합성,023450,2022/12,,,,,,,,,,,
(주)동남합성,023450,2023/12,,,,,,,,,,,
(주)동방,004140,2020/12,78909106,65061264,0,0,0,0,0,15835477,1603743,116770066,410051935
(주)동방,004140,2021/12,32013554,34516773,0,0,0,0,0,14567817,2113050,131456558,399799100
(주)동방,004140,2022/12,51034842,109982829,0,0,0,0,0,14344747,687109,130280219,437684707
(주)동방,004140,2023/12,46142910,71500602,0,0,0,0,0,16167374,513742,144098261,455221060
(주)동방아그로,007590,2020/12,0,2761919,0,0,0,0,0,381960,2019685,141791300,54235750
(주)동방아그로,007590,2021/12,0,498897,0,0,0,0,0,77889,2015998,147114820,57352106
(주)동방아그로,007590,2022/12,0,521228,0,0,0,0,0,583394,1995902,150823209,65704821
(주)동방아그로,007590,2023/12,0,549468,0,0,0,0,0,607648,2837173,159950147,64434056
(주)동서,026960,2020/12,320078,0,0,0,0,0,0,39977,27743643,1397256602,128513682
(주)동서,026960,2021/12,831593,0,0,0,0,0,0,48244,26151061,1448607177,133970703
(주)동서,026960,2022/12,1440087,0,0,0,0,0,0,96833,-40274628,1545550259,82302460
(주)동서,026960,2023/12,806730,0,0,0,0,0,0,132435,17027762,1622874728,71145080
(주)동성케미컬,102260,2020/12,79469787,38541016,0,0,0,0,0,8490018,11318954,427208895,370735252
(주)동성케미컬,102260,2021/12,104462349,30478250,0,0,0,0,0,5362105,12195950,457002898,361792854
(주)동성케미컬,102260,2022/12,112428567,9800000,0,0,0,0,0,5382118,8939704,489006502,410505252
(주)동아지질,028100,2020/12,35000000,0,0,0,0,0,0,1895835,836669,191535750,143304737
(주)동아지질,028100,2021/12,36000000,5000000,0,0,0,0,0,951702,1498825,204393025,146434994
(주)동아지질,028100,2022/12,50000000,0,0,0,0,0,0,1428868,-5378673,221639122,150642232
(주)동아지질,028100,2023/12,50880000,0,0,0,0,0,0,2662495,2107897,228916549,162018317
(주)동양,001520,2020/12,32091728,4612811,0,0,0,0,0,1288000,3364199,779586271,217173926
(주)동양,001520,2021/12,29000000,5199403,0,0,0,0,0,1582000,12950323,783993332,223240278
(주)동양,001520,2022/12,44675170,4662857,0,0,0,0,0,1545000,5433587,783531995,200018245
(주)동양,001520,2023/12,88139260,5507825,0,0,0,0,0,4225000,12836298,788242192,311407795
(주)동양고속,084670,2020/12,21000000,3015986,0,0,0,0,0,643590,-3294757,107047437,60838463
(주)동양고속,084670,2021/12,42000000,3015986,0,0,0,0,0,1163999,-6574170,84514491,84315064
(주)동양고속,084670,2022/12,56500000,3565184,0,0,0,0,0,2201983,-2970352,75242450,90255924
