,회사명,거래소코드,회계년도,매출액,판관비,매출원가,법인세비용,ROIC,법인세비율
129,(주)도화엔지니어링,2150,2021/12,577392660.0,557407186.0,0.0,6955232.0,13030242.0,34.801436283172464
130,(주)도화엔지니어링,2150,2022/12,555824252.0,543884355.0,0.0,1336405.0,10603492.0,11.192768245823226
131,(주)도화엔지니어링,2150,2023/12,574990700.0,553098730.0,0.0,5294841.0,16597129.0,24.18622444668068
132,(주)동방,4140,2020/12,592054485.0,47908007.0,519556090.0,1603743.0,22986645.0,6.521828773096219
133,(주)동방,4140,2021/12,595947334.0,50499832.0,517672339.0,2113050.0,25662113.0,7.607696127651888
134,(주)동방,4140,2022/12,758533282.0,61009001.0,669956503.0,687109.0,26880669.0,2.4924351900976567
135,(주)동방,4140,2023/12,767794640.0,40233775.0,692371163.0,513742.0,34675960.0,1.459921428149633
136,(주)동방아그로,7590,2020/12,129521685.0,27757870.0,92421567.0,2019685.0,7322563.0,21.618833068871645
137,(주)동방아그로,7590,2021/12,134065934.0,29275132.0,96593131.0,2015998.0,6181673.0,24.592326283892096
138,(주)동방아그로,7590,2022/12,146722849.0,30072766.0,107312852.0,1995902.0,7341329.0,21.375737624998244
139,(주)동방아그로,7590,2023/12,164275326.0,33911855.0,116774798.0,2837173.0,10751500.0,20.878955583080117
140,(주)동서,26960,2020/12,493040722.0,37052387.0,410873646.0,27743643.0,17371046.0,61.49580904791342
141,(주)동서,26960,2021/12,535327319.0,40620046.0,456332594.0,26151061.0,12223618.0,68.14665733099683
142,(주)동서,26960,2022/12,556486609.0,42561551.0,474749980.0,-40274628.0,79449706.0,-102.8067589297461
143,(주)동서,26960,2023/12,489695542.0,42591500.0,403351555.0,17027762.0,26724725.0,38.91838651366264
144,(주)동양,1520,2020/12,603129522.0,79418522.0,538990690.0,3364199.0,-18643889.0,-22.01745585152578
145,(주)동양,1520,2021/12,699569458.0,72839961.0,619111544.0,12950323.0,-5332370.0,169.99741269078453
